Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
rpoD (AL347_20760);PA2624;+;PA2624 (idh)
rpoD (AL347_20760);PA2623;+;PA2623 (icd, icdA)
rpoD (AL347_20760);PA2622;+;PA2622 (cspD)
rpoD (AL347_20760);PA2620;+;PA2620 (clpA)
rpoD (AL347_20760);PA2619;+;PA2619 (infA)
rpoD (AL347_20760);PA2603;+;PA2603
rpoD (AL347_20760);PA2602;+;PA2602
rpoD (AL347_20760);PA2601;+;PA2601
rpoD (AL347_20760);PA2590;+;PA2590
rpoD (AL347_20760);PA2589;+;PA2589
rpoD (AL347_20760);PA2581;+;PA2581
rpoD (AL347_20760);PA2576;+;PA2576
rpoD (AL347_20760);lecA;+;lecA
rpoD (AL347_20760);PA2557;+;PA2557
rpoD (AL347_20760);PA2556;+;PA2556
rpoD (AL347_20760);PA2551;+;PA2551
rpoD (AL347_20760);PA2534;+;PA2534
rpoD (AL347_20760);antC;+;antC
rpoD (AL347_20760);antB;+;antB
rpoD (AL347_20760);antA;+;antA
rpoD (AL347_20760);PA2501;+;PA2501
rpoD (AL347_20760);PA2497;+;PA2497
rpoD (AL347_20760);PA2496;+;PA2496
rpoD (AL347_20760);mexT;+;mexT
rpoD (AL347_20760);mexS;+;mexS
rpoD (AL347_20760);PA2478;+;PA2478
rpoD (AL347_20760);PA2477;+;PA2477
rpoD (AL347_20760);PA2476;+;PA2476 (dsbG)
rpoD (AL347_20760);PA2463;+;PA2463
rpoD (AL347_20760);PA2462;+;PA2462
rpoD (AL347_20760);PA2455;+;PA2455
rpoD (AL347_20760);PA2454;+;PA2454
rpoD (AL347_20760);PA2453;+;PA2453
rpoD (AL347_20760);PA2447;+;PA2447
rpoD (AL347_20760);PA2429;+;PA2429
rpoD (AL347_20760);PA2423;+;PA2423
rpoD (AL347_20760);PA2381;+;PA2381
rpoD (AL347_20760);PA2315;+;PA2315
rpoD (AL347_20760);PA2314;+;PA2314
rpoD (AL347_20760);pvcD;+;pvcD
rpoD (AL347_20760);pvcC;+;pvcC
rpoD (AL347_20760);pvcB;+;pvcB
rpoD (AL347_20760);pvcA;+;pvcA
rpoD (AL347_20760);bkdB;+;bkdB
rpoD (AL347_20760);bkdA2;+;bkdA2
rpoD (AL347_20760);bkdA1;+;bkdA1
rpoD (AL347_20760);qsrO;+;qsrO
rpoD (AL347_20760);PA2209;+;PA2209
rpoD (AL347_20760);PA2208;+;PA2208
rpoD (AL347_20760);PA2207;+;PA2207
rpoD (AL347_20760);PA2127;+;PA2127 (cgrA)
rpoD (AL347_20760);PA2118;+;PA2118 (ada)
rpoD (AL347_20760);PA2107;+;PA2107
rpoD (AL347_20760);kynB;+;kynB
rpoD (AL347_20760);kynU;+;kynU
rpoD (AL347_20760);PA2079;+;PA2079
rpoD (AL347_20760);PA2075;+;PA2075
rpoD (AL347_20760);PA2054;+;PA2054 (cynR)
rpoD (AL347_20760);PA2040;+;PA2040 (pauA4)
rpoD (AL347_20760);PA2029;+;PA2029
rpoD (AL347_20760);PA2028;+;PA2028
rpoD (AL347_20760);PA2027;+;PA2027
rpoD (AL347_20760);PA2017;+;PA2017
rpoD (AL347_20760);liuR;+;liuR
rpoD (AL347_20760);liuA;+;liuA
rpoD (AL347_20760);liuB;+;liuB
rpoD (AL347_20760);liuC;+;liuC
rpoD (AL347_20760);liuD;+;liuD
rpoD (AL347_20760);liuE;+;liuE
rpoD (AL347_20760);dhcB;+;dhcB
rpoD (AL347_20760);dhcA;+;dhcA
rpoD (AL347_20760);dhcR;+;dhcR
rpoD (AL347_20760);PA1997;+;PA1997
rpoD (AL347_20760);PA1996;+;PA1996 (ppiC1)
rpoD (AL347_20760);PA1995;+;PA1995
rpoD (AL347_20760);PA1994;+;PA1994
rpoD (AL347_20760);braZ;+;braZ
rpoD (AL347_20760);PA1956;+;PA1956 (fapA)
rpoD (AL347_20760);PA1955;+;PA1955 (fapB)
rpoD (AL347_20760);PA1954;+;PA1954 (fapC)
rpoD (AL347_20760);PA1953;+;PA1953 (fapD)
rpoD (AL347_20760);PA1952;+;PA1952 (fapE)
rpoD (AL347_20760);rbsK;+;rbsK
rpoD (AL347_20760);rbsR;+;rbsR
rpoD (AL347_20760);PA1948;+;PA1948
rpoD (AL347_20760);PA1947;+;PA1947
rpoD (AL347_20760);PA1946;+;PA1946
rpoD (AL347_20760);PA1940;+;PA1940
rpoD (AL347_20760);PA1925;+;PA1925
rpoD (AL347_20760);PA1924;+;PA1924
rpoD (AL347_20760);PA1923;+;PA1923
rpoD (AL347_20760);PA1922;+;PA1922
rpoD (AL347_20760);qscR;+;qscR
rpoD (AL347_20760);PA1864;+;PA1864
rpoD (AL347_20760);PA1856;+;PA1856
rpoD (AL347_20760);PA1855;+;PA1855
rpoD (AL347_20760);nfuA;+;nfuA
rpoD (AL347_20760);PA1805;+;PA1805 (ppiD)
rpoD (AL347_20760);hupB;+;hupB
rpoD (AL347_20760);PA1796;+;PA1796 (folD)
rpoD (AL347_20760);PA1789;+;PA1789
rpoD (AL347_20760);PA1772;+;PA1772
rpoD (AL347_20760);PA1761;+;PA1761
rpoD (AL347_20760);PA1760;+;PA1760
rpoD (AL347_20760);PA1759;+;PA1759
rpoD (AL347_20760);PA1758;+;PA1758 (pabB)
rpoD (AL347_20760);cysB;+;cysB
rpoD (AL347_20760);PA1750;+;PA1750
rpoD (AL347_20760);PA1747;+;PA1747
rpoD (AL347_20760);fadB;+;fadB
rpoD (AL347_20760);PA1736;+;PA1736
rpoD (AL347_20760);mucR;+;mucR
rpoD (AL347_20760);PA1709;+;PA1709 (popD, pepD)
rpoD (AL347_20760);PA1708;+;PA1708 (popB, pepB)
rpoD (AL347_20760);PA1707;+;PA1707 (pcrH)
rpoD (AL347_20760);PA1706;+;PA1706 (pcrV)
rpoD (AL347_20760);PA1705;+;PA1705 (pcrG)
rpoD (AL347_20760);PA1704;+;PA1704 (pcrR)
rpoD (AL347_20760);PA1703;+;PA1703 (pcrD)
rpoD (AL347_20760);PA1702;+;PA1702 (pcr4)
rpoD (AL347_20760);PA1701;+;PA1701 (pcr3)
rpoD (AL347_20760);PA1700;+;PA1700 (pcr2)
rpoD (AL347_20760);PA1699;+;PA1699 (pcr1)
rpoD (AL347_20760);PA1677;+;PA1677
rpoD (AL347_20760);PA1676;+;PA1676
rpoD (AL347_20760);PA1675;+;PA1675
rpoD (AL347_20760);PA1643;+;PA1643
rpoD (AL347_20760);PA1642;+;PA1642 (selD)
rpoD (AL347_20760);PA1627;+;PA1627
rpoD (AL347_20760);PA1626;+;PA1626
rpoD (AL347_20760);PA1590;+;PA1590 (braB)
rpoD (AL347_20760);PA1584;+;PA1584 (sdhB)
rpoD (AL347_20760);PA1583;+;PA1583 (sdhA)
rpoD (AL347_20760);PA1582;+;PA1582 (sdhD)
rpoD (AL347_20760);PA1581;+;PA1581 (sdhC, cybA)
rpoD (AL347_20760);PA1580;+;PA1580 (gltA, cisY)
rpoD (AL347_20760);PA1570;+;PA1570
rpoD (AL347_20760);PA1519;+;PA1519
rpoD (AL347_20760);PA1518;+;PA1518
rpoD (AL347_20760);PA1507;+;PA1507
rpoD (AL347_20760);PA1505;+;PA1505 (moaA2)
rpoD (AL347_20760);PA1504;+;PA1504
rpoD (AL347_20760);PA1503;+;PA1503
rpoD (AL347_20760);PA1483;+;PA1483 (cycH)
rpoD (AL347_20760);PA1482;+;PA1482 (ccmH, cycL)
rpoD (AL347_20760);ccmG;+;ccmG
rpoD (AL347_20760);PA1480;+;PA1480 (ccmF, cycK)
rpoD (AL347_20760);PA1479;+;PA1479 (ccmE, cycJ)
rpoD (AL347_20760);PA1478;+;PA1478
rpoD (AL347_20760);PA1477;+;PA1477 (ccmC, helC, cycZ)
rpoD (AL347_20760);rsaL;+;rsaL
rpoD (AL347_20760);PA1412;+;PA1412
rpoD (AL347_20760);PA1269;+;PA1269
rpoD (AL347_20760);PA1262;+;PA1262
rpoD (AL347_20760);PA1252;+;PA1252 (dpkA)
rpoD (AL347_20760);aprA;+;aprA
rpoD (AL347_20760);PA1241;+;PA1241
rpoD (AL347_20760);PA1240;+;PA1240
rpoD (AL347_20760);PA1239;+;PA1239
rpoD (AL347_20760);PA1238;+;PA1238
rpoD (AL347_20760);PA1237;+;PA1237
rpoD (AL347_20760);PA1236;+;PA1236
rpoD (AL347_20760);PA1225;+;PA1225
rpoD (AL347_20760);PA1200;+;PA1200
rpoD (AL347_20760);PA1199;+;PA1199
rpoD (AL347_20760);PA1198;+;PA1198
rpoD (AL347_20760);ddaH;+;ddaH
rpoD (AL347_20760);dctR;+;dctR
rpoD (AL347_20760);PA1149;+;PA1149
rpoD (AL347_20760);PA1139;+;PA1139
rpoD (AL347_20760);PA1135;+;PA1135
rpoD (AL347_20760);PA1126;+;PA1126
rpoD (AL347_20760);PA1122;+;PA1122
rpoD (AL347_20760);PA1050;+;PA1050
rpoD (AL347_20760);PA1049;+;PA1049 (pdxH)
rpoD (AL347_20760);PA1044;+;PA1044
rpoD (AL347_20760);PA1036;+;PA1036
rpoD (AL347_20760);PA1014;+;PA1014 (wapB)
rpoD (AL347_20760);PA1013;+;PA1013 (purC)
rpoD (AL347_20760);PA1012;+;PA1012
rpoD (AL347_20760);PA1011;+;PA1011
rpoD (AL347_20760);PA1010;+;PA1010 (dapA)
rpoD (AL347_20760);PA1009;+;PA1009
rpoD (AL347_20760);PA1008;+;PA1008 (bcp)
rpoD (AL347_20760);PA0960;+;PA0960
rpoD (AL347_20760);PA0952;+;PA0952
rpoD (AL347_20760);PA0941;+;PA0941
rpoD (AL347_20760);PA0940;+;PA0940
rpoD (AL347_20760);PA0939;+;PA0939
rpoD (AL347_20760);PA0938;+;PA0938 (wzz2)
rpoD (AL347_20760);PA0937;+;PA0937
rpoD (AL347_20760);PA0936;+;PA0936 (lpxO2)
rpoD (AL347_20760);PA0925;+;PA0925
rpoD (AL347_20760);PA0922;+;PA0922
rpoD (AL347_20760);PA0909;+;PA0909 (alpC)
rpoD (AL347_20760);PA0908;+;PA0908 (alpB)
rpoD (AL347_20760);rsmA;+;rsmA
rpoD (AL347_20760);acsA;+;acsA
rpoD (AL347_20760);phhA;+;phhA
rpoD (AL347_20760);PA0858;+;PA0858
rpoD (AL347_20760);PA0850;+;PA0850
rpoD (AL347_20760);PA0842;+;PA0842
rpoD (AL347_20760);PA0840;+;PA0840
rpoD (AL347_20760);PA0839;+;PA0839
rpoD (AL347_20760);PA0838;+;PA0838
rpoD (AL347_20760);PA0831;+;PA0831
rpoD (AL347_20760);PA0827;+;PA0827
rpoD (AL347_20760);PA0806;+;PA0806
rpoD (AL347_20760);PA0797;+;PA0797
rpoD (AL347_20760);prpB;+;prpB
rpoD (AL347_20760);prpC;+;prpC
rpoD (AL347_20760);PA0794;+;PA0794
rpoD (AL347_20760);PA0787;+;PA0787
rpoD (AL347_20760);PA0786;+;PA0786
rpoD (AL347_20760);PA0785;+;PA0785 (azoR1, azoR)
rpoD (AL347_20760);PA0768;+;PA0768 (lepB)
rpoD (AL347_20760);PA0767;+;PA0767 (lepA)
rpoD (AL347_20760);PA0714;+;PA0714
rpoD (AL347_20760);PA0710;+;PA0710 (gloA2)
rpoD (AL347_20760);PA0709;+;PA0709
rpoD (AL347_20760);PA0708;+;PA0708
rpoD (AL347_20760);PA0664;+;PA0664
rpoD (AL347_20760);PA0663;+;PA0663
rpoD (AL347_20760);PA0662;+;PA0662 (argC)
rpoD (AL347_20760);PA0657;+;PA0657
rpoD (AL347_20760);PA0651;+;PA0651 (trpC)
rpoD (AL347_20760);PA0650;+;PA0650 (trpD)
rpoD (AL347_20760);PA0649;+;PA0649 (trpG, pabA)
rpoD (AL347_20760);PA0635;+;PA0635
rpoD (AL347_20760);PA0634;+;PA0634
rpoD (AL347_20760);PA0633;+;PA0633
rpoD (AL347_20760);PA0632;+;PA0632
rpoD (AL347_20760);PA0631;+;PA0631
rpoD (AL347_20760);PA0630;+;PA0630
rpoD (AL347_20760);PA0629;+;PA0629
rpoD (AL347_20760);PA0628;+;PA0628
rpoD (AL347_20760);PA0598;+;PA0598
rpoD (AL347_20760);PA0597;+;PA0597
rpoD (AL347_20760);PA0596;+;PA0596
rpoD (AL347_20760);PA0595;+;PA0595 (lptD, ostA)
rpoD (AL347_20760);surA;+;surA
rpoD (AL347_20760);PA0593;+;PA0593 (pdxA)
rpoD (AL347_20760);PA0583;+;PA0583
rpoD (AL347_20760);PA0582;+;PA0582 (folB)
rpoD (AL347_20760);PA0580;+;PA0580 (gcp, ygjD)
rpoD (AL347_20760);PA0579;+;PA0579 (rpsU)
rpoD (AL347_20760);rpoD;+;rpoD
rpoD (AL347_20760);PA0544;+;PA0544
rpoD (AL347_20760);PA0540;+;PA0540
rpoD (AL347_20760);PA0539;+;PA0539
rpoD (AL347_20760);PA0538;+;PA0538 (dsbB)
rpoD (AL347_20760);PA0535;+;PA0535
rpoD (AL347_20760);PA0534;+;PA0534 (pauB1)
rpoD (AL347_20760);PA0528;+;PA0528
rpoD (AL347_20760);dnr;+;dnr
rpoD (AL347_20760);PA0526;+;PA0526
rpoD (AL347_20760);PA0522;+;PA0522
rpoD (AL347_20760);PA0521;+;PA0521
rpoD (AL347_20760);nirQ;+;nirQ
rpoD (AL347_20760);nirS;+;nirS
rpoD (AL347_20760);PA0492;+;PA0492
rpoD (AL347_20760);PA0491;+;PA0491
rpoD (AL347_20760);PA0485;+;PA0485
rpoD (AL347_20760);PA0468;+;PA0468
rpoD (AL347_20760);PA0467;+;PA0467
rpoD (AL347_20760);PA0457;+;PA0457
rpoD (AL347_20760);PA0456;+;PA0456
rpoD (AL347_20760);PA0455;+;PA0455 (dbpA)
rpoD (AL347_20760);PA0447;+;PA0447 (gcdH)
rpoD (AL347_20760);PA0444;+;PA0444
rpoD (AL347_20760);PA0443;+;PA0443
rpoD (AL347_20760);PA0442;+;PA0442
rpoD (AL347_20760);dht;+;dht
rpoD (AL347_20760);PA0440;+;PA0440
rpoD (AL347_20760);PA0439;+;PA0439
rpoD (AL347_20760);PA0428;+;PA0428
rpoD (AL347_20760);mexR;+;mexR
rpoD (AL347_20760);PA0391;+;PA0391
rpoD (AL347_20760);PA0390;+;PA0390 (metX)
rpoD (AL347_20760);PA0389;+;PA0389
rpoD (AL347_20760);PA0360;+;PA0360
rpoD (AL347_20760);PA0338;+;PA0338
rpoD (AL347_20760);PA0337;+;PA0337 (ptsP)
rpoD (AL347_20760);PA0336;+;PA0336 (rppH, ygdP)
rpoD (AL347_20760);PA0335;+;PA0335
rpoD (AL347_20760);PA0334;+;PA0334
rpoD (AL347_20760);PA0328;+;PA0328 (aaaA)
rpoD (AL347_20760);PA0312;+;PA0312
rpoD (AL347_20760);PA0311;+;PA0311
rpoD (AL347_20760);PA0308;+;PA0308
rpoD (AL347_20760);PA0305;+;PA0305 (hacB)
rpoD (AL347_20760);spuH;+;spuH
rpoD (AL347_20760);spuG;+;spuG
rpoD (AL347_20760);spuF;+;spuF
rpoD (AL347_20760);spuE;+;spuE
rpoD (AL347_20760);spuC;+;spuC
rpoD (AL347_20760);spuB;+;spuB
rpoD (AL347_20760);spuA;+;spuA
rpoD (AL347_20760);spuI;+;spuI
rpoD (AL347_20760);PA0286;+;PA0286 (desA)
rpoD (AL347_20760);PA0285;+;PA0285
rpoD (AL347_20760);PA0275;+;PA0275
rpoD (AL347_20760);PA0271;+;PA0271
rpoD (AL347_20760);PA0270;+;PA0270
rpoD (AL347_20760);PA0269;+;PA0269
rpoD (AL347_20760);PA0264;+;PA0264
rpoD (AL347_20760);PA0259;+;PA0259 (tla3, tli3)
rpoD (AL347_20760);PA0250;+;PA0250
rpoD (AL347_20760);PA0221;+;PA0221
rpoD (AL347_20760);PA0220;+;PA0220
rpoD (AL347_20760);PA0219;+;PA0219
rpoD (AL347_20760);PA0217;+;PA0217
rpoD (AL347_20760);PA0201;+;PA0201
rpoD (AL347_20760);PA0200;+;PA0200
rpoD (AL347_20760);PA0194;+;PA0194
rpoD (AL347_20760);PA0193;+;PA0193
rpoD (AL347_20760);PA0192;+;PA0192
rpoD (AL347_20760);PA0191;+;PA0191
rpoD (AL347_20760);atsR;+;atsR
rpoD (AL347_20760);PA0182;+;PA0182
rpoD (AL347_20760);PA0139;+;PA0139 (ahpC)
rpoD (AL347_20760);PA0114;+;PA0114 (senC)
rpoD (AL347_20760);PA0113;+;PA0113
rpoD (AL347_20760);PA0112;+;PA0112
rpoD (AL347_20760);PA0068;+;PA0068
rpoD (AL347_20760);PA0067;+;PA0067 (prlC, opdA)
rpoD (AL347_20760);phzH;+;phzH
rpoD (AL347_20760);PA0019;+;PA0019 (def)
rpoD (AL347_20760);PA0004;+;PA0004 (gyrB)
rpoD (AL347_20760);PA0003;+;PA0003 (recF)
rpoD (AL347_20760);PA0002;+;PA0002 (dnaN)
rpoD (AL347_20760);dnaA;+;dnaA
rpoD (AL347_20760);sigX;?;sigX
rpoD (AL347_20760);PA1698;+;PA1698 (popN)
rpoD (AL347_20760);aotJ;+;aotJ
rpoD (AL347_20760);fleQ;+;fleQ
rpoD (AL347_20760);ptxR;+;ptxR
rpoD (AL347_20760);rpoS;?;rpoS
rpoH (AL347_19690);nrdJb;+;nrdJb
rpoH (AL347_19690);kinB;+;kinB
rpoH (AL347_19690);PA5446;+;PA5446
rpoH (AL347_19690);PA5412;+;PA5412
rpoH (AL347_19690);cdhB;+;cdhB
rpoH (AL347_19690);PA5383;+;PA5383
rpoH (AL347_19690);PA5243;+;PA5243 (hemB)
rpoH (AL347_19690);ppK;+;ppK
rpoH (AL347_19690);PA5203;+;PA5203 (gshA)
rpoH (AL347_19690);PA5183;+;PA5183
rpoH (AL347_19690);emrB;+;emrB
rpoH (AL347_19690);emrA;+;emrA
rpoH (AL347_19690);PA5158;+;PA5158
rpoH (AL347_19690);PA5157;+;PA5157
rpoH (AL347_19690);PA5055;+;PA5055
rpoH (AL347_19690);PA5054;+;PA5054 (hslU)
rpoH (AL347_19690);PA5053;+;PA5053 (hslV)
rpoH (AL347_19690);pilM;+;pilM
rpoH (AL347_19690);pilN;+;pilN
rpoH (AL347_19690);PA5042;+;PA5042 (pilO)
rpoH (AL347_19690);pilP;+;pilP
rpoH (AL347_19690);PA5040;+;PA5040 (pilQ)
rpoH (AL347_19690);PA5030;+;PA5030
rpoH (AL347_19690);aceE;+;aceE
rpoH (AL347_19690);hfq;+;hfq
rpoH (AL347_19690);PA4943;+;PA4943
rpoH (AL347_19690);PA4909;+;PA4909
rpoH (AL347_19690);PA4881;+;PA4881
rpoH (AL347_19690);PA4870;+;PA4870
rpoH (AL347_19690);PA4762;+;PA4762 (grpE)
rpoH (AL347_19690);PA4761;+;PA4761 (dnaK)
rpoH (AL347_19690);PA4760;+;PA4760 (dnaJ)
rpoH (AL347_19690);PA4759;+;PA4759 (dapB)
rpoH (AL347_19690);PA4751;+;PA4751 (hflB)
rpoH (AL347_19690);PA4750;+;PA4750 (folP, dhpS)
rpoH (AL347_19690);PA4749;+;PA4749 (glmM, yhbF, mrsA)
rpoH (AL347_19690);PA4748;+;PA4748 (tpiA)
rpoH (AL347_19690);PA4739;+;PA4739
rpoH (AL347_19690);PA4738;+;PA4738
rpoH (AL347_19690);PA4728;+;PA4728 (folK)
rpoH (AL347_19690);PA4727;+;PA4727 (pcnB)
rpoH (AL347_19690);PA4674;+;PA4674
rpoH (AL347_19690);PA4613;+;PA4613 (katB)
rpoH (AL347_19690);PA4612;+;PA4612
rpoH (AL347_19690);PA4581;+;PA4581 (rtcR)
rpoH (AL347_19690);PA4542;+;PA4542 (clpB)
rpoH (AL347_19690);dppA3;+;dppA3
rpoH (AL347_19690);PA4472;+;PA4472 (pmbA, tldE)
rpoH (AL347_19690);PA4443;+;PA4443 (cysD)
rpoH (AL347_19690);PA4442;+;PA4442 (cysN)
rpoH (AL347_19690);PA4433;+;PA4433 (rplM)
rpoH (AL347_19690);PA4432;+;PA4432 (rpsI)
rpoH (AL347_19690);PA4387;+;PA4387
rpoH (AL347_19690);PA4386;+;PA4386 (groES, mopB)
rpoH (AL347_19690);PA4385;+;PA4385 (groEL, mopA)
rpoH (AL347_19690);pctC;+;pctC
rpoH (AL347_19690);rcpC;+;rcpC
rpoH (AL347_19690);rcpA;+;rcpA
rpoH (AL347_19690);tadA;+;tadA
rpoH (AL347_19690);tadB;+;tadB
rpoH (AL347_19690);tadZ;+;tadZ
rpoH (AL347_19690);tadD;+;tadD
rpoH (AL347_19690);mexI;+;mexI
rpoH (AL347_19690);PA4188;+;PA4188
rpoH (AL347_19690);cupB5;+;cupB5
rpoH (AL347_19690);PA4079;+;PA4079
rpoH (AL347_19690);mucE;+;mucE
rpoH (AL347_19690);PA3931;+;PA3931
rpoH (AL347_19690);PA3782;+;PA3782
rpoH (AL347_19690);PA3733;+;PA3733
rpoH (AL347_19690);PA3731;+;PA3731
rpoH (AL347_19690);alg8;+;alg8
rpoH (AL347_19690);PA3445;+;PA3445
rpoH (AL347_19690);PA3444;+;PA3444
rpoH (AL347_19690);PA3443;+;PA3443
rpoH (AL347_19690);PA3442;+;PA3442
rpoH (AL347_19690);PA3441;+;PA3441
rpoH (AL347_19690);PA3371;+;PA3371
rpoH (AL347_19690);oprP;+;oprP
rpoH (AL347_19690);PA3226;+;PA3226
rpoH (AL347_19690);PA3225;+;PA3225
rpoH (AL347_19690);PA3162;+;PA3162 (rpsA)
rpoH (AL347_19690);PA3133;+;PA3133 (sawR)
rpoH (AL347_19690);PA3132;+;PA3132
rpoH (AL347_19690);PA3126;+;PA3126 (ibpA, hslT)
rpoH (AL347_19690);acpP;+;acpP
rpoH (AL347_19690);atuC;+;atuC
rpoH (AL347_19690);PA2849;+;PA2849 (ohrR)
rpoH (AL347_19690);PA2829;+;PA2829
rpoH (AL347_19690);PA2828;+;PA2828
rpoH (AL347_19690);PA2815;+;PA2815
rpoH (AL347_19690);PA2764;+;PA2764
rpoH (AL347_19690);PA2701;+;PA2701
rpoH (AL347_19690);PA2700;+;PA2700 (opdB)
rpoH (AL347_19690);PA2699;+;PA2699
rpoH (AL347_19690);PA2698;+;PA2698
rpoH (AL347_19690);PA2697;+;PA2697
rpoH (AL347_19690);PA2674;+;PA2674
rpoH (AL347_19690);fhp;+;fhp
rpoH (AL347_19690);ppyR;+;ppyR
rpoH (AL347_19690);PA2662;+;PA2662
rpoH (AL347_19690);PA2649;+;PA2649 (nuoN)
rpoH (AL347_19690);PA2648;+;PA2648 (nuoM)
rpoH (AL347_19690);PA2647;+;PA2647 (nuoL)
rpoH (AL347_19690);PA2646;+;PA2646 (nuoK)
rpoH (AL347_19690);PA2645;+;PA2645 (nuoJ)
rpoH (AL347_19690);PA2644;+;PA2644 (nuoI)
rpoH (AL347_19690);PA2643;+;PA2643 (nuoH)
rpoH (AL347_19690);PA2642;+;PA2642 (nuoG)
rpoH (AL347_19690);PA2641;+;PA2641 (nuoF)
rpoH (AL347_19690);PA2640;+;PA2640 (nuoE)
rpoH (AL347_19690);PA2639;+;PA2639 (nuoD)
rpoH (AL347_19690);PA2638;+;PA2638 (nuoB)
rpoH (AL347_19690);nuoA;+;nuoA
rpoH (AL347_19690);PA2600;+;PA2600
rpoH (AL347_19690);PA2599;+;PA2599
rpoH (AL347_19690);PA2598;+;PA2598
rpoH (AL347_19690);PA2597;+;PA2597
rpoH (AL347_19690);PA2594;+;PA2594
rpoH (AL347_19690);PA2569;+;PA2569
rpoH (AL347_19690);PA2416;+;PA2416 (treA)
rpoH (AL347_19690);PA2368;+;PA2368 (hsiF3)
rpoH (AL347_19690);PA2327;+;PA2327
rpoH (AL347_19690);ptxR;+;ptxR
rpoH (AL347_19690);qsrO;+;qsrO
rpoH (AL347_19690);PA2204;+;PA2204
rpoH (AL347_19690);PA2198;+;PA2198
rpoH (AL347_19690);PA2165;+;PA2165
rpoH (AL347_19690);PA2164;+;PA2164
rpoH (AL347_19690);PA2163;+;PA2163
rpoH (AL347_19690);PA2162;+;PA2162
rpoH (AL347_19690);PA2161;+;PA2161
rpoH (AL347_19690);PA2160;+;PA2160
rpoH (AL347_19690);PA2147;+;PA2147 (katE)
rpoH (AL347_19690);PA2086;+;PA2086
rpoH (AL347_19690);PA2070;+;PA2070
rpoH (AL347_19690);PA2029;+;PA2029
rpoH (AL347_19690);PA1946;+;PA1946
rpoH (AL347_19690);PA1921;+;PA1921
rpoH (AL347_19690);lon;+;lon
rpoH (AL347_19690);clpX;+;clpX
rpoH (AL347_19690);PA1787;+;PA1787 (acnB)
rpoH (AL347_19690);PA1742;+;PA1742 (pauD2)
rpoH (AL347_19690);PA1740;+;PA1740
rpoH (AL347_19690);PA1739;+;PA1739
rpoH (AL347_19690);PA1631;+;PA1631
rpoH (AL347_19690);PA1630;+;PA1630
rpoH (AL347_19690);PA1597;+;PA1597
rpoH (AL347_19690);PA1596;+;PA1596 (htpG)
rpoH (AL347_19690);PA1569;+;PA1569
rpoH (AL347_19690);PA1568;+;PA1568
rpoH (AL347_19690);PA1567;+;PA1567
rpoH (AL347_19690);PA1516;+;PA1516
rpoH (AL347_19690);PA1488;+;PA1488
rpoH (AL347_19690);PA1487;+;PA1487
rpoH (AL347_19690);lasI;+;lasI
rpoH (AL347_19690);PA1423;+;PA1423 (bdlA)
rpoH (AL347_19690);PA1343;+;PA1343
rpoH (AL347_19690);PA1324;+;PA1324
rpoH (AL347_19690);PA1311;+;PA1311 (phnX)
rpoH (AL347_19690);PA1221;+;PA1221
rpoH (AL347_19690);PA1220;+;PA1220
rpoH (AL347_19690);PA1219;+;PA1219
rpoH (AL347_19690);PA1218;+;PA1218
rpoH (AL347_19690);PA1217;+;PA1217
rpoH (AL347_19690);PA1216;+;PA1216
rpoH (AL347_19690);cupC3;+;cupC3
rpoH (AL347_19690);PA0920;+;PA0920
rpoH (AL347_19690);PA0919;+;PA0919
rpoH (AL347_19690);asrA;+;asrA
rpoH (AL347_19690);PA0574;+;PA0574
rpoH (AL347_19690);dht;+;dht
rpoH (AL347_19690);PA0440;+;PA0440
rpoH (AL347_19690);PA0439;+;PA0439
rpoH (AL347_19690);rpoH;?;rpoH
rpoH (AL347_19690);PA0283;+;PA0283 (sbp)
rpoH (AL347_19690);PA0254;+;PA0254 (hudA, ubiD)
rpoH (AL347_19690);PA0253;+;PA0253 (hudR)
rpoH (AL347_19690);PA0201;+;PA0201
rpoH (AL347_19690);PA0200;+;PA0200
rpoH (AL347_19690);PA0123;+;PA0123
rpoH (AL347_19690);PA0114;+;PA0114 (senC)
rpoH (AL347_19690);PA0113;+;PA0113
rpoH (AL347_19690);PA0112;+;PA0112
rpoN (AL347_11175);proC;+;proC
rpoN (AL347_11175);rhlI;-;rhlI
rpoN (AL347_11175);flhB;+;flhB
rpoN (AL347_11175);fleN;+;fleN
rpoN (AL347_11175);sadB;-;sadB
rpoN (AL347_11175);fhpR;+;fhpR
rpoN (AL347_11175);alg8;+;alg8
rpoN (AL347_11175);alg44;+;alg44
rpoN (AL347_11175);algK;+;algK
rpoN (AL347_11175);algE;+;algE
rpoN (AL347_11175);algG;+;algG
rpoN (AL347_11175);algX;+;algX
rpoN (AL347_11175);algL;+;algL
rpoN (AL347_11175);algI;+;algI
rpoN (AL347_11175);algJ;+;algJ
rpoN (AL347_11175);algF;+;algF
rpoN (AL347_11175);algA;+;algA
rpoN (AL347_11175);pqsA;+;pqsA
rpoN (AL347_11175);pqsB;+;pqsB
rpoN (AL347_11175);pqsC;+;pqsC
rpoN (AL347_11175);pqsD;+;pqsD
rpoN (AL347_11175);pqsE;+;pqsE
rpoN (AL347_11175);mvfR;+;mvfR
rpoN (AL347_11175);ddaR;+;ddaR
rpoN (AL347_11175);lasR;+;lasR
rpoN (AL347_11175);rsaL;+;rsaL
